city,country_code,hours_of_operation,latitude,location_name,location_type,locator_domain,longitude,page_url,phone,state,store_number,street_address,zip,city
Buena Park,US,Temporarily Closed,<MISSING>,Buena Park,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,7777 Beach Blvd. ,90620,Buena Park
Los Angeles,US,Temporarily Closed,<MISSING>,LAX Terminal 1,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,1 World Way Terminal 1,90045,Los Angeles
El Segundo,US,Temporarily Closed,<MISSING>,El Segundo,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,143 Main St. ,90245,El Segundo
Corona,US,Temporarily Closed,<MISSING>,Corona,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,3550 Grand Oaks ,92881,Corona
Highland,US,Monday - Sunday: 12:00 pm - 12:00 am,<MISSING>,San Manuel Casino,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,777 San Manuel Blvd,92346,Highland
Redondo Beach,US,Temporarily Closed,<MISSING>,Redondo Beach,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,6300 South Pacific Coast Hwy.,90277,Redondo Beach
Tustin,US,Temporarily Closed,<MISSING>,Tustin,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,1222 Irvine Blvd ,92780,Tustin
Los Angeles,US,Temporarily Closed,<MISSING>,LAX Terminal 5,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,500 World Way Terminal 5,90045,Los Angeles
Ontario,US,Monday - Sunday: 4:00 am - 10:00 pm,<MISSING>,Ontario Terminal 4,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,CA,<MISSING>,2900 E Airport Dr,91761,Ontario
Oviedo,US,Monday - Thursday: 11:00 am - 10:30 pmFriday - Saturday: 11:00 am - 12:00 amSunday: 11:00 am - 9:30 pm,<MISSING>,Oviedo,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,FL,<MISSING>,7131 Red Bug Lake Rd.,32765,Oviedo
Orlando,US,Monday - Thursday: 11:00 am - 12:00 amFriday - Saturday: 11:00 am - 1:00 amSunday: 10:00 am - 11:00 am,<MISSING>,Orlando,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,FL,<MISSING>,6897 South Semoran Blvd.,32822,Orlando
Kissimmee,US,Monday - Thursday: 11:00 am - 12:00 amFriday - Saturday: 11:00 am - 1:00 amSunday: 11:00 am - 11:00 pm,<MISSING>,Kissimmee,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,FL,<MISSING>,3284 Margaritaville Blvd. ,34747,Kissimmee
Lutz,US,Monday - Thursday: 11:00 am - 12:00 amFriday - Saturday: 11:00 am - 1:00 amSunday: 10:00 am - 11:00 pm,<MISSING>,Wesley Chapel,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,FL,<MISSING>,26000 State Rd 56 W,33559,Lutz
Overland Park,US,Monday - Thursday: 11:00 am - 10:00 pmFriday - Saturday: 11:00 am - 11:00 pmSunday: 11:00 am - 10:00 pm,<MISSING>,Overland Park,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,KS,<MISSING>,5701 W 135th St,66223,Overland Park
San Jos del Cabo,US,Monday - Sunday: 12:00 pm - 1:00 am,<MISSING>,San José Del Cabo,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,,<MISSING>,Paseo Malecon San Jos,23400,San Jos del Cabo
Chesterfield,US,Monday - Thursday: 11:00 am - 8:00 pmFriday - Saturday: 11:00 am - 9:00 pmSunday: 11:00 am - 8:00 pm,<MISSING>,St. Louis,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,MO,<MISSING>,17258 Chesterfield Airport Rd.,63005,Chesterfield
San Antonio,US,Temporarily Closed,<MISSING>,AT&T Center,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,TX,<MISSING>,1 AT T Center Pkwy.,78219,San Antonio
The Colony,US,Monday - Thursday: 11:00 am - 12:00 amFriday - Saturday: 11:00 am - 1:00 amSunday: 10:00 am - 11:00 pm 11:00 am - 12:00 am,<MISSING>,The Colony,<MISSING>,rockandbrews.com,<MISSING>,rockandbrews.com/locations,<MISSING>,TX,<MISSING>,5351 Nebraska Furniture Mart Dr.,75056,The Colony
